,year,actual,synthetic,effect,park_code
0,2010,100.0,100.0000000000069,-6.906475391588174e-12,BADL
1,2011,87.16368851290758,87.14654584685834,0.017142666049238642,BADL
2,2012,83.89905011042734,84.18060822493658,-0.28155811450923807,BADL
3,2013,90.20999484125834,90.17383376360145,0.036161077656885254,BADL
4,2014,86.28216172718203,86.47038369001477,-0.18822196283274195,BADL
5,2015,99.21218825244787,98.53550134495049,0.676686907497384,BADL
6,2016,99.87323874378966,100.55316834807958,-0.6799296042899243,BADL
7,2017,106.22656335729394,105.89276839352253,0.3337949637714104,BADL
8,2018,101.74753950725818,101.323821639553,0.4237178677051787,BADL
9,2019,98.18245800796893,98.71353726886828,-0.5310792608993467,BADL
10,2020,92.8785400130419,66.98399094023559,25.894549072806313,BADL
11,2021,115.88930273741249,103.38445427593814,12.504848461474353,BADL
12,2022,92.75770689518168,95.67137055254645,-2.913663657364765,BADL
13,2023,99.86264377312132,95.36286457031467,4.49977920280665,BADL
14,2024,100.07315574985273,96.96219738370327,3.110958366149461,BADL
15,2025,102.56171255087794,98.0954009553951,4.466311595482836,BADL
16,2010,100.0,100.0000001029194,-1.0291940100159991e-07,BIBE
17,2011,98.37157565253382,96.69061483940811,1.6809608131257079,BIBE
18,2012,81.98903174069379,86.54419481081547,-4.555163070121679,BIBE
19,2013,76.26173784825517,85.64670751540106,-9.384969667145896,BIBE
20,2014,99.6494813358512,90.53910941511236,9.110371920738842,BIBE
21,2015,95.4859404506299,92.61044561309767,2.87549483753223,BIBE
22,2016,89.69268179113745,94.28780625564016,-4.595124464502717,BIBE
23,2017,103.7522311612386,101.77314770161648,1.9790834596221174,BIBE
24,2018,101.2378094523631,102.13541620021823,-0.8976067478551357,BIBE
25,2019,105.36125410663011,105.33862830453472,0.022625802095390668,BIBE
26,2020,82.92159246708228,56.156534040954234,26.765058426128043,BIBE
27,2021,142.33644618051065,100.70982926725253,41.62661691325812,BIBE
28,2022,103.6384096024006,86.73930811994799,16.899101482452608,BIBE
29,2023,96.93457847220427,85.67120543581066,11.263373036393602,BIBE
30,2024,98.38321649377862,96.14878863906509,2.2344278547135303,BIBE
31,2025,116.03590552810617,94.62846875888403,21.407436769222144,BIBE
32,2010,100.0,100.00000025640962,-2.5640962064699124e-07,BISC
33,2011,94.88333269370995,94.64031809139311,0.24301460231683336,BISC
34,2012,96.1795294930345,97.32340033607494,-1.143870843040446,BISC
35,2013,99.42817668956519,101.07960609815271,-1.6514294085875179,BISC
36,2014,103.65832597766436,97.35230878950145,6.306017188162912,BISC
37,2015,98.14589169896765,102.58922274799961,-4.443331049031968,BISC
38,2016,99.0137007330084,94.29606574631009,4.7176349866983145,BISC
39,2017,76.31826380627086,84.60919197667863,-8.290928170407767,BISC
40,2018,91.53346509575162,91.70961784920651,-0.17615275345488612,BISC
41,2019,104.73481214261042,102.12517679394927,2.6096353486611576,BISC
42,2020,57.810761023909116,47.618709048527805,10.192051975381311,BISC
43,2021,100.5147369228998,85.80857793191029,14.706158990989508,BISC
44,2022,105.92547108262656,91.92648493830549,13.998986144321066,BISC
45,2023,97.27136661933453,80.61477460096432,16.656592018370205,BISC
46,2024,93.93013393713781,105.94476870230856,-12.014634765170754,BISC
47,2025,80.15072725179414,168.5063773541256,-88.35565010233145,BISC
48,2010,100.0,100.00000629154506,-6.291545062708792e-06,BLCA
49,2011,106.60576121356655,98.26160196464774,8.344159248918814,BLCA
50,2012,115.73888953639535,95.38583624611873,20.35305329027662,BLCA
51,2013,104.14384206421073,94.19673480678402,9.947107257426708,BLCA
52,2014,108.74133711078635,104.90448682942441,3.836850281361933,BLCA
53,2015,121.52162024045401,121.7642898639447,-0.24266962349068422,BLCA
54,2016,138.08174719156528,148.053651597162,-9.971904405596717,BLCA
55,2017,154.13353176915697,164.5684114183277,-10.434879649170739,BLCA
56,2018,162.0007351688647,163.22185332809627,-1.2211181592315654,BLCA
57,2019,228.72986130411786,185.0708719704233,43.658989333694564,BLCA
58,2020,175.2373609230852,156.78271457744128,18.45464634564391,BLCA
59,2021,173.74281641398971,165.36035460309026,8.382461810899457,BLCA
60,2022,156.94510440294428,148.04787172882502,8.897232674119266,BLCA
61,2023,191.980383542976,167.91034345134247,24.07004009163353,BLCA
62,2024,194.5086471996342,149.6301455057055,44.87850169392868,BLCA
63,2025,117.72384547109083,144.24041614872,-26.51657067762916,BLCA
64,2010,100.0,100.00000326982534,-3.2698253420448964e-06,BRCA
65,2011,98.78986980400641,95.70341610933833,3.08645369466808,BRCA
66,2012,102.61720637705221,96.57594214665882,6.041264230393395,BRCA
67,2013,99.63373925762534,101.27857794707316,-1.6448386894478233,BRCA
68,2014,103.37359653939448,110.56656189256312,-7.192965353168631,BRCA
69,2015,126.13561406582346,139.50037202701463,-13.364757961191174,BRCA
70,2016,176.0384344499093,175.28500812486794,0.753426325041346,BRCA
71,2017,185.53417042235802,174.59412957266974,10.940040849688273,BRCA
72,2018,193.3908454802954,181.53580184689676,11.855043633398651,BRCA
73,2019,185.32276213510613,189.90281960243422,-4.580057467328089,BRCA
74,2020,107.4181028046284,188.4439068303637,-81.02580402573528,BRCA
75,2021,133.13501558518826,180.83405376362472,-47.69903817843647,BRCA
76,2022,152.16011532216248,180.32137843580313,-28.161263113640643,BRCA
77,2023,162.03316452808804,210.61551718399826,-48.58235265591023,BRCA
78,2024,156.8637733439782,184.30836689836858,-27.444593554390366,BRCA
79,2025,115.18106684758263,184.16560041191232,-68.9845335643297,BRCA
80,2010,100.0,100.00000006675928,-6.675928432287037e-08,CANY
81,2011,103.36003399361715,101.76288794826807,1.5971460453490778,CANY
82,2012,97.9409451310472,100.85486427713519,-2.9139191460879914,CANY
83,2013,103.89208834724117,104.75494910942051,-0.8628607621793378,CANY
84,2014,113.5074903488866,113.0631053607731,0.44438498811351224,CANY
85,2015,136.9007042826533,130.2368497250163,6.663854557636995,CANY
86,2016,161.2725908379969,158.7480701606448,2.5245206773520863,CANY
87,2017,150.3494290699672,150.90020018804466,-0.5507711180774777,CANY
88,2018,146.98984711913135,145.27008925106077,1.7197578680705874,CANY
89,2019,146.49847661582692,151.25811072817461,-4.7596341123476975,CANY
90,2020,121.12169895758936,128.56449310893868,-7.442794151349318,CANY
91,2021,162.06683000479165,127.97234650746248,34.09448349732918,CANY
92,2022,137.48609968447414,117.2437096479291,20.242390036545046,CANY
93,2023,148.79621007332133,116.07655298916556,32.71965708415577,CANY
94,2024,149.3006898172843,118.9514236614405,30.349266155843807,CANY
95,2025,142.64526394778002,165.2870791152324,-22.641815167452364,CANY
96,2010,100.0,100.00000001228167,-1.2281674344194471e-08,CARE
97,2011,101.78206680283937,102.21778930108259,-0.43572249824322284,CARE
98,2012,94.57886905555526,98.24408638672229,-3.665217331167028,CARE
99,2013,95.30790850474916,96.18980418693364,-0.8818956821844779,CARE
100,2014,106.96720655762184,108.14825108502636,-1.1810445274045236,CARE
101,2015,134.3952492440282,127.25565911607545,7.139590127952758,CARE
102,2016,137.17461214781315,141.9952193840616,-4.820607236248463,CARE
103,2017,148.03474003637197,145.6725319892404,2.36220804713156,CARE
104,2018,154.16597780349534,151.9569694693981,2.209008334097234,CARE
105,2019,154.17557744510873,156.08541313224345,-1.9098356871347164,CARE
106,2020,151.09969227815495,123.92491860845625,27.174773669698695,CARE
107,2021,159.81163369900858,144.21562359680652,15.596010102202058,CARE
108,2022,139.35533073431924,136.72959824845225,2.6257324858669904,CARE
109,2023,156.05364066408188,140.96378628110648,15.089854382975403,CARE
110,2024,160.16682043870364,135.66322957086024,24.5035908678434,CARE
111,2025,155.19767262022216,137.77820157723355,17.41947104298862,CARE
112,2010,100.0,100.00000000770176,-7.701757454015024e-09,CAVE
113,2011,80.23703041144901,85.04326353795899,-4.80623312650998,CAVE
114,2012,87.40359769429537,88.4504211233448,-1.0468234290494252,CAVE
115,2013,96.9116477837408,95.67134447910641,1.240303304634395,CAVE
116,2014,90.44523951500696,94.52822096411872,-4.082981449111756,CAVE
117,2015,109.47525342874181,103.03314337407853,6.442110054663274,CAVE
118,2016,113.32886106141919,110.44194490693573,2.8869161544834583,CAVE
119,2017,106.25223613595706,106.45929645736584,-0.2070603214087754,CAVE
120,2018,103.14152256012721,102.1867774373752,0.9547451227520156,CAVE
121,2019,95.09242695289207,100.12484280475361,-5.032415851861543,CAVE
122,2020,31.155833830252433,87.78213028928687,-56.626296459034435,CAVE
123,2021,70.31057443848141,94.28339551566727,-23.972821077185856,CAVE
124,2022,71.7496521566289,95.31212341355757,-23.562471256928674,CAVE
125,2023,69.19846948916715,91.17844595508569,-21.97997646591854,CAVE
126,2024,87.90846750149076,84.58624888196883,3.3222186195219336,CAVE
127,2025,85.123732856291,112.31431403126307,-27.190581174972067,CAVE
128,2010,100.0,100.00000012709351,-1.2709351437933947e-07,CONG
129,2011,121.5203206835006,119.81451139081969,1.705809292680911,CONG
130,2012,88.77022559030927,94.53201609866406,-5.7617905083547925,CONG
131,2013,117.38888726336425,110.27997851629814,7.10890874706611,CONG
132,2014,107.74497469058137,97.6523284151577,10.092646275423675,CONG
133,2015,74.40676478333383,97.65615229746754,-23.249387514133716,CONG
134,2016,130.26011645258507,122.77382516600285,7.486291286582215,CONG
135,2017,134.12821488135296,126.60278120746104,7.525433673891925,CONG
136,2018,121.97384205752407,125.2449414523704,-3.271099394846331,CONG
137,2019,127.44828393363959,126.23423376071298,1.2140501729266049,CONG
138,2020,109.23720630833603,112.69436642622864,-3.457160117892613,CONG
139,2021,189.82649150013168,140.10462495771085,49.72186654242083,CONG
140,2022,165.96248939345173,122.7636084816726,43.19888091177913,CONG
141,2023,210.54802937648125,138.66831428909416,71.8797150873871,CONG
142,2024,179.32235128887848,128.81186953387964,50.510481754998835,CONG
143,2025,255.0516429177517,135.28429250563474,119.76735041211697,CONG
144,2010,100.0,100.00000018573262,-1.857326168419604e-07,CRLA
145,2011,99.07559825597541,100.1211188204302,-1.0455205644547902,CRLA
146,2012,101.87485507018181,101.06949382207941,0.8053612481024004,CRLA
147,2013,107.89906872750903,107.1966559562028,0.7024127713062285,CRLA
148,2014,117.38757024623038,111.35686437121275,6.030705875017631,CRLA
149,2015,131.223536888754,134.9016320319618,-3.6780951432077984,CRLA
150,2016,178.00702533874212,168.29177460970928,9.715250729032846,CRLA
151,2017,167.92477677229485,168.6707442617609,-0.7459674894660395,CRLA
152,2018,153.43265379737593,152.94727065460393,0.4853831427720081,CRLA
153,2019,162.14132553885264,165.32909149370826,-3.187765954855621,CRLA
154,2020,157.70368186151438,126.68113464919077,31.022547212323616,CRLA
155,2021,131.80325616148545,151.50213090007955,-19.6988747385941,CRLA
156,2022,113.598067029862,156.3191944118555,-42.72112738199351,CRLA
157,2023,119.12272012871199,173.098319920295,-53.97559979158302,CRLA
158,2024,111.22250627671362,157.45097781337282,-46.2284715366592,CRLA
159,2025,157.281417206068,146.5372773237752,10.744139882292785,CRLA
160,2010,100.0,100.00000001811847,-1.811847027965996e-08,CUVA
161,2011,93.70996604195713,93.3334911493961,0.37647489256103484,CUVA
162,2012,98.14137278969038,94.46736214294229,3.674010646748087,CUVA
163,2013,97.26051239840235,99.4599710869635,-2.199458688561151,CUVA
164,2014,93.19370588672554,95.53202136531151,-2.3383154785859688,CUVA
165,2015,96.44854712879581,97.59291989886565,-1.144372770069836,CUVA
166,2016,109.84148682924706,104.78266933441648,5.058817494830578,CUVA
167,2017,96.9754135067073,99.23957591741217,-2.26416241070487,CUVA
168,2018,87.93909308637454,88.48312448361932,-0.5440313972447797,CUVA
169,2019,98.02180349298267,99.67810713915767,-1.6563036461750045,CUVA
170,2020,119.78967044562452,52.545600531352086,67.24406991427244,CUVA
171,2021,108.02764144803041,90.84213218016468,17.185509267865726,CUVA
172,2022,125.23292896731652,96.32100004057,28.911928926746526,CUVA
173,2023,127.40203748257227,96.90998413792575,30.49205334464652,CUVA
174,2024,120.06262203954942,97.41536905106787,22.647252988481554,CUVA
175,2025,126.24414618094397,97.74061736154036,28.503528819403613,CUVA
176,2010,100.0,100.00000165684577,-1.6568457681387372e-06,DEVA
177,2011,102.81192255161886,99.47134644016289,3.3405761114559738,DEVA
178,2012,108.26677526505486,103.62828409192112,4.638491173133744,DEVA
179,2013,94.44818443995645,99.98685079483695,-5.538666354880505,DEVA
180,2014,109.27186442931824,102.84870665482273,6.4231577744955075,DEVA
181,2015,113.20827896488007,114.67863468790823,-1.4703557230281632,DEVA
182,2016,115.06774932610821,128.76019554427236,-13.69244621816415,DEVA
183,2017,147.00841914545256,144.86132741700146,2.1470917284511017,DEVA
184,2018,162.35015777240326,148.45767977247462,13.892477999928644,DEVA
185,2019,165.95218900552135,168.70401774415276,-2.751828738631417,DEVA
186,2020,41.588473056795294,117.46183438152595,-75.87336132473065,DEVA
187,2021,57.50312358884428,135.34912622299225,-77.84600263414796,DEVA
188,2022,75.42518208237409,131.5132118488456,-56.08802976647151,DEVA
189,2023,69.21014065153493,151.27290787792697,-82.06276722639204,DEVA
190,2024,106.4078589772359,150.99408775364313,-44.586228776407225,DEVA
191,2025,98.21255918196601,122.14841345529379,-23.935854273327777,DEVA
192,2010,100.0,100.00000051977842,-5.197784247457093e-07,EVER
193,2011,98.54076508631076,100.68183457218238,-2.1410694858716255,EVER
194,2012,117.25829614565362,107.33649950060479,9.921796645048829,EVER
195,2013,111.73074513508044,110.50737718432863,1.2233679507518076,EVER
196,2014,124.04508785288135,107.24539760949521,16.799690243386138,EVER
197,2015,113.08251327672454,113.28121562659634,-0.19870234987179458,EVER
198,2016,100.85250546972135,112.9294919340202,-12.076986464298855,EVER
199,2017,108.02097288753096,116.45669342559522,-8.43572053806426,EVER
200,2018,63.48635702100181,71.81767039579867,-8.331313374796864,EVER
201,2019,131.22849459774656,119.45496346402653,11.773531133720027,EVER
202,2020,86.9160409819475,54.88941014823114,32.02663083371636,EVER
203,2021,131.71185411506175,99.9201693269499,31.79168478811185,EVER
204,2022,151.16960473432093,106.89717911076697,44.27242562355396,EVER
205,2023,101.9093423804613,118.1534561183156,-16.244113737854306,EVER
206,2024,103.15267992250827,111.80835449486301,-8.65567457235474,EVER
207,2025,102.21680336954113,104.37042493562998,-2.1536215660888587,EVER
208,2010,100.0,100.00000043220844,-4.322084379282387e-07,GRBA
209,2011,102.61437908496731,102.17091740881901,0.4434616761483028,GRBA
210,2012,103.52771411594941,103.45966158191443,0.06805253403497602,GRBA
211,2013,108.90756302521008,107.93128190369626,0.9762811215138214,GRBA
212,2014,121.63992869875221,111.23321785444213,10.406710844310084,GRBA
213,2015,130.20796197266787,126.15906258740506,4.048899385262814,GRBA
214,2016,156.4230540701129,160.90887820536827,-4.4858241352553705,GRBA
215,2017,171.78847296494354,165.0477520304076,6.740720934535943,GRBA
216,2018,165.52414905356082,162.61122992782785,2.9129191257329694,GRBA
217,2019,159.4856124267889,162.47604610610452,-2.990433679315629,GRBA
218,2020,144.6074187250658,106.33978972067418,38.26762900439162,GRBA
219,2021,165.7210763093116,125.34836132827874,40.37271498103286,GRBA
220,2022,149.85824632883455,133.24901803858404,16.609228290250513,GRBA
221,2023,161.2613530260589,140.8603538320234,20.400999194035506,GRBA
222,2024,166.20660385366267,142.36939489909398,23.837208954568695,GRBA
223,2025,189.94482641541467,118.32471405194708,71.62011236346758,GRBA
224,2010,100.0,100.00000000000126,-1.2647660696529783e-12,GRCA
225,2011,95.42345366390737,95.37862285453932,0.04483080936805095,GRCA
226,2012,97.69060684054017,97.41414548063617,0.27646135990400467,GRCA
227,2013,105.63081475993106,105.7294318972328,-0.09861713730174415,GRCA
228,2014,101.47610562938655,101.69012989218741,-0.21402426280086218,GRCA
229,2015,114.61711143435468,114.39471310738213,0.22239832697255224,GRCA
230,2016,123.80603884606944,123.99354642538708,-0.18750757931763928,GRCA
231,2017,124.71757421318294,124.48209538327973,0.23547882990321511,GRCA
232,2018,122.64517505573211,122.3702161820961,0.27495887363600957,GRCA
233,2019,116.00540464042565,116.41985455149177,-0.4144499110661144,GRCA
234,2020,49.129081665553684,79.07431221737491,-29.945230551821226,GRCA
235,2021,83.32446841890464,84.90448251725289,-1.5800140983482436,GRCA
236,2022,86.29225999921233,94.30241701200141,-8.01015701278908,GRCA
237,2023,88.8824018969907,94.78705031840721,-5.9046484214165105,GRCA
238,2024,87.17895340921238,99.17467816718968,-11.9957247579773,GRCA
239,2025,73.9028315936029,111.88430222373783,-37.981470630134936,GRCA
240,2010,100.0,100.00000247678807,-2.476788068861424e-06,GRSA
241,2011,99.26872150736725,97.37641037483152,1.892311132535724,GRSA
242,2012,88.65273607070063,100.11748548444346,-11.464749413742837,GRSA
243,2013,88.34985192907118,96.8495790058943,-8.49972707682312,GRSA
244,2014,98.65724821459135,97.5377207033798,1.119527511211544,GRSA
245,2015,108.12445218942706,114.27837971310382,-6.1539275236767566,GRSA
246,2016,136.61215789391795,136.66448105064475,-0.05232315672679988,GRSA
247,2017,163.38265573379388,152.74107454330505,10.641581190488836,GRSA
248,2018,144.5416024853096,150.74702907148802,-6.205426586178419,GRSA
249,2019,186.40340640931888,180.02313863592246,6.380267773396412,GRSA
250,2020,178.85516018110812,150.97963015930645,27.875530021801666,GRSA
251,2021,202.4417440732731,158.45593877581243,43.98580529746067,GRSA
252,2022,150.2839538827776,156.94769966131764,-6.663745778540033,GRSA
253,2023,171.23949111315108,177.54033686045733,-6.300845747306255,GRSA
254,2024,136.51465409490024,167.75162953418615,-31.236975439285914,GRSA
255,2025,130.5150586319387,130.6275609838834,-0.11250235194469838,GRSA
256,2010,100.0,100.00000000000001,-1.4210854715202004e-14,GRSM
257,2011,95.4284010036261,95.42826068570038,0.0001403179257266629,GRSM
258,2012,102.22559114898861,102.22559432165,-3.1726613798355174e-06,GRSM
259,2013,105.814961209671,105.81544673395595,-0.00048552428495440836,GRSM
260,2014,108.45091719250672,108.45058749460061,0.0003296979061104821,GRSM
261,2015,110.93290132260856,110.93307991500868,-0.0001785924001183048,GRSM
262,2016,113.62380963144854,113.62442774205283,-0.0006181106042930651,GRSM
263,2017,116.63269088416843,116.63206539437145,0.0006254897969739659,GRSM
264,2018,119.27575731174274,119.27507141637825,0.0006858953644837129,GRSM
265,2019,126.57353154502722,126.57319270260183,0.0003388424253927269,GRSM
266,2020,136.2017101497429,83.60528253327207,52.59642761647082,GRSM
267,2021,132.2014705014202,110.58515111061519,21.616319390805018,GRSM
268,2022,123.54272642103005,104.72625614309773,18.816470277932325,GRSM
269,2023,126.25248618675407,105.52926389963866,20.723222287115405,GRSM
270,2024,108.19665295565169,108.61105846650337,-0.41440551085167954,GRSM
271,2025,104.26244827096589,100.66943872257082,3.5930095483950737,GRSM
272,2010,100.0,100.00000000000034,-3.410605131648481e-13,GRTE
273,2011,97.74461985654857,97.72904248663112,0.015577369917451733,GRTE
274,2012,101.81669903541604,101.62837122242554,0.18832781299049373,GRTE
275,2013,103.9775690997772,104.00981167149742,-0.03224257172021794,GRTE
276,2014,104.26948329567698,104.42752670321339,-0.158043407536411,GRTE
277,2015,116.20047569437995,116.0205297378818,0.1799459564981447,GRTE
278,2016,118.49558436906187,118.62388115160407,-0.12829678254219345,GRTE
279,2017,122.71447809619353,122.60802139247359,0.10645670371994242,GRTE
280,2018,127.361954072103,127.2632555255159,0.09869854658710153,GRTE
281,2019,124.83123710549545,124.99924176460061,-0.16800465910516493,GRTE
282,2020,120.89830305819183,79.9461209211141,40.95218213707773,GRTE
283,2021,137.03718523832592,91.78384657281049,45.25333866551543,GRTE
284,2022,97.05418180900104,94.85709873960533,2.1970830693957026,GRTE
285,2023,122.49849588924029,97.74815829099241,24.75033759824788,GRTE
286,2024,128.6854762683953,101.5421682169006,27.143308051494685,GRTE
287,2025,134.38890230639845,100.09240719442106,34.29649511197739,GRTE
288,2010,100.0,100.00000343358685,-3.433586854839632e-06,GUMO
289,2011,72.28360817691313,74.79335163878189,-2.5097434618687515,GUMO
290,2012,70.7622159738582,82.77920126947075,-12.016985295612542,GUMO
291,2013,73.03138536362945,86.63728914267848,-13.60590377904903,GUMO
292,2014,74.69564556577247,82.25957715769847,-7.563931591926007,GUMO
293,2015,79.6549889809256,82.35482329570446,-2.699834314778869,GUMO
294,2016,80.71585986777112,82.50511592173916,-1.789256053968046,GUMO
295,2017,77.91473516224637,84.72518543726612,-6.810450275019747,GUMO
296,2018,82.25853028345618,86.35118392517228,-4.0926536417160975,GUMO
297,2019,76.91313929629912,85.51289952142113,-8.599760225122012,GUMO
298,2020,48.927730070674066,89.6877112276101,-40.75998115693603,GUMO
299,2021,93.58461889201307,86.93845773695404,6.646161155059033,GUMO
300,2022,70.78501405881906,82.63920943388692,-11.85419537506786,GUMO
301,2023,67.43369556957217,82.58137464563987,-15.147679076067703,GUMO
302,2024,67.93677331104188,81.15036729659123,-13.213593985549352,GUMO
303,2025,68.46112926514174,76.1521923699488,-7.691063104807071,GUMO
304,2010,100.0,100.00001159953868,-1.1599538680684418e-05,HAVO
305,2011,106.46932211178022,98.56767100141504,7.901651110365179,HAVO
306,2012,111.30619845703644,116.48475274685198,-5.178554289815537,HAVO
307,2013,122.61679407438677,111.53808209260316,11.078711981783613,HAVO
308,2014,128.3854286901519,123.7103279799565,4.675100710195409,HAVO
309,2015,140.73815130188925,113.99474702109315,26.7434042807961,HAVO
310,2016,144.02239034031822,104.73222992842229,39.29016041189594,HAVO
311,2017,155.30176611944006,111.0332461315168,44.268519987923256,HAVO
312,2018,9.864589448134394,68.00931339342097,-58.14472394528657,HAVO
313,2019,102.0890908651193,132.78295864352273,-30.69386777840343,HAVO
314,2020,24.01135346793041,90.47560446011262,-66.46425099218222,HAVO
315,2021,102.75306207251359,131.71646438770716,-28.963402315193576,HAVO
316,2022,124.12304133990268,149.2803363690255,-25.157295029122807,HAVO
317,2023,130.73966832219753,102.77492937739623,27.964738944801297,HAVO
318,2024,104.81972742003214,103.55848435214364,1.2612430678885005,HAVO
319,2025,139.14264168200177,104.98573837813774,34.15690330386403,HAVO
320,2010,100.0,100.00000005651918,-5.6519183999625966e-08,HOSP
321,2011,111.75365883078243,110.9814975055173,0.7721613252651309,HOSP
322,2012,99.36137990189509,95.33646543094966,4.024914470945433,HOSP
323,2013,96.20647599646179,100.17428840255484,-3.9678124060930458,HOSP
324,2014,108.00017423003725,104.60268931966762,3.397484910369627,HOSP
325,2015,102.7067641461388,104.38932463610355,-1.6825604899647573,HOSP
326,2016,111.88768193636582,111.19689909674047,0.6907828396253564,HOSP
327,2017,116.35467204546063,113.83334813667015,2.521323908790478,HOSP
