UnitCode,ParkName
ACAD,Acadia National Park
ARCH,Arches National Park
BADL,Badlands National Park
BIBE,Big Bend National Park
BISC,Biscayne National Park
BLCA,Black Canyon of the Gunnison National Park
BRCA,Bryce Canyon National Park
CANY,Canyonlands National Park
CARE,Capitol Reef National Park
CAVE,Carlsbad Caverns National Park
CHIS,Channel Islands National Park
CONG,Congaree National Park
CRLA,Crater Lake National Park
CUVA,Cuyahoga Valley National Park
DENA,Denali National Park
DEVA,Death Valley National Park
DRTO,Dry Tortugas National Park
EVER,Everglades National Park
GAAR,Gates of the Arctic National Park
JEFF,Gateway Arch National Park
GLAC,Glacier National Park
GLBA,Glacier Bay National Park
GRBA,Great Basin National Park
GRCA,Grand Canyon National Park
GRSA,Great Sand Dunes National Park
GRSM,Great Smoky Mountains National Park
GRTE,Grand Teton National Park
GUMO,Guadalupe Mountains National Park
HALE,Haleakalā National Park
HAVO,Hawaiʻi Volcanoes National Park
HOSP,Hot Springs National Park
INDU,Indiana Dunes National Park
ISRO,Isle Royale National Park
JOTR,Joshua Tree National Park
KATM,Katmai National Park
KEFJ,Kenai Fjords National Park
KICA,Sequoia & Kings Canyon National Park
KOVA,Kobuk Valley National Park
LACL,Lake Clark National Park
LAVO,Lassen Volcanic National Park
MACA,Mammoth Cave National Park
MEVE,Mesa Verde National Park
MORA,Mount Rainier National Park
NPSA,National Park of American Samoa
NEPE,New River Gorge National Park
NOCA,North Cascades National Park
OLYM,Olympic National Park
PEFO,Petrified Forest National Park
PINN,Pinnacles National Park
REDW,Redwood National Park
ROMO,Rocky Mountain National Park
SAGU,Saguaro National Park
SHEN,Shenandoah National Park
THRO,Theodore Roosevelt National Park
VIIS,Virgin Islands National Park
VOYA,Voyageurs National Park
WHSA,White Sands National Park
WICA,Wind Cave National Park
WRST,Wrangell-St. Elias National Park
YELL,Yellowstone National Park
YOSE,Yosemite National Park
ZION,Zion National Park